Style Number,Shape,Carat Weight,Color,Clarity,Graded By,Cut Grade,Fluorescence,Culet,Depth,Table,Girdle,Polish,Symmetry,Measurements,Price
151103OTC1_67216,Emerald,0.33,F,I1,GIA,Excellent,None,,64.30,66.00,Medium to Thick,Good,Good,4.77 x 3.43 x 2.21 mm,588
BN0001751_92506,Emerald,0.71,J,VS1,GIA,Excellent,None,,65.20,69.00,Thick to Thick,Excellent,Very Good,5.97 x 4.32 x 2.82 mm,1893
BG995-14_220,Emerald,0.40,F,VVS1,GIA,Fair,Faint,None,65.40,59.00,Slightly Thick to Thick,Excellent,Excellent,5.08 x 3.68 x 2.41 mm,1925
322A15_27853,Emerald,0.66,I,VS1,EGL,Excellent,None,,63.40,60.00,,Excellent,Excellent,6.40 x 4.10 x 2.60 mm,1556
SG1953_98109,Emerald,0.31,G,IF,GIA,Excellent,Faint,,62.00,65.00,Slightly Thick to Thick,Excellent,Very Good,4.76 x 3.28 x 2.03 mm,1113
CC2434_96594,Emerald,0.34,E,I1,GIA,Excellent,Faint,,74.10,,Very Thin to Extr. Thick,Very Good,Good,4.03 x 3.61 x 2.67 mm,948
24803_29708,Emerald,0.59,I,VVS2,GIA,Excellent,None,None Pointed,65.90,66.00,Thin to Very Thick,Very Good,Good,5.62 x 4.14 x 2.73 mm,1989
C882_42633,Emerald,0.39,D,VS2,GIA,Excellent,Medium,,59.60,73.00,,Good,Good,5.52 x 3.61 x 2.15 mm,1460
SG2849_98109,Emerald,0.31,D,VVS1,GIA,Excellent,None,,62.50,62.00,Medium to Thick,Excellent,Very Good,4.69 x 3.24 x 2.02 mm,1189
5R025_109001,Emerald,0.50,H,VS2,GIA,Excellent,None,,66.10,61.00,Thick to Very Thick,Excellent,Very Good,5.26 x 3.74 x 2.47 mm,1604
SG2690_98109,Emerald,0.30,E,VVS2,GIA,Excellent,Faint,,65.20,62.00,Thin to Thick,Very Good,Very Good,4.71 x 3.24 x 2.11 mm,1188
118_42633,Emerald,0.46,G,VS1,EGL,Very Good,,,,,,Very Good,Very Good,4.62 x 3.80 x 2.74 mm,1740
24713_29708,Emerald,0.31,G,VVS1,GIA,Excellent,None,None Pointed,69.30,67.00,Very Thick to Extr. Thick,Very Good,Very Good,4.33 x 3.31 x 2.29 mm,875
SG2688_98109,Emerald,0.30,E,VVS2,GIA,Excellent,Faint,,61.80,66.00,Medium to Slightly Thick,Excellent,Very Good,4.70 x 3.18 x 1.97 mm,1188
23624_29708,Emerald,0.52,I,VVS1,GIA,Excellent,Faint,None Pointed,68.00,60.00,Thin to Thick,Very Good,Very Good,5.28 x 3.90 x 2.65 mm,1680
BN305-2_13198,Emerald,0.31,G,VS2,GIA,Excellent,None,,62.10,67.00,Thick to Very Thick,Excellent,Very Good,4.74 x 3.27 x 2.03 mm,859
I124-139A_NVD,Emerald,0.58,I,VVS2,GIA,Fair,None,,65.60,62.00,THK - VTK to THK - VTK,Excellent,Very Good,5.7x3.85x2.53 mm,1663
23726_29708,Emerald,0.35,I,VVS2,GIA,Excellent,None,None Pointed,68.20,63.00,Slightly Thick to Very Thick,Very Good,Excellent,4.71 x 3.35 x 2.28 mm,910
17EM_31175,Emerald,0.40,G,VVS2,GIA,Excellent,None,,65.50,62.00,Slightly Thick to Thick,Excellent,Very Good,4.98 x 3.48 x 2.28 mm,1537
24693_29708,Emerald,0.46,G,VVS1,GIA,Excellent,None,None Pointed,68.50,64.00,Medium to Slightly Thick,Excellent,Very Good,5.35 x 3.68 x 2.52 mm,1512
6330033_NVD,Emerald,0.33,F,VS2,GIA,Good,None,NON,62.70,65.00,Medium to Medium,Excellent,Excellent,4.96x3.38x2.12 mm,1124
11186_20425,Emerald,0.41,E,VS1,GIA,Excellent,None,,63.90,67.00,Slightly Thick to Thick,Excellent,Very Good,5.67 x 3.40 x 2.17 mm,1644
SG2695_98109,Emerald,0.31,E,VVS2,GIA,Excellent,None,,65.40,66.00,Medium to Slightly Thick,Excellent,Very Good,4.81 x 3.21 x 2.10 mm,1228
BG673-1_220,Emerald,0.50,J,SI2,GIA,Fair,None,None,60.70,67.00,Medium to Very Thick,Excellent,Very Good,5.36 x 3.91 x 2.37 mm,1213
D222A13_27853,Emerald,0.70,J,VS1,EGL,Excellent,None,,68.30,73.00,Medium to Slightly Thick,Excellent,Excellent,6.26 x 3.94 x 2.69 mm,1588
LD22016671_NVD,Emerald,0.61,I,VS2,GIA,Good,Faint,NON,64.40,60.00,Slightly Thick to Slightly Thick,Excellent,Excellent,5.69x4.09x2.63 mm,2080
