Style Number,Shape,Carat Weight,Color,Clarity,Graded By,Cut Grade,Fluorescence,Culet,Depth,Table,Girdle,Polish,Symmetry,Measurements,Price
PS-1026G_12927,Pear,0.55,E,SI2,GIA,Excellent,Faint,,57.0,64.0,Medium to Very Thick,Good,Good,6.56 x 4.89 x 2.79 mm,2053
AM3603_31175,Pear,0.32,F,SI1,GIA,Excellent,None,,60.6,56.0,Medium to Very Thick,Very Good,Very Good,6.20 x 3.81 x 2.31 mm,950
A143-180_NVD,Pear,0.4,F,VS1,GIA,Very Good,Faint,NON,61.1,58.0,THK-VTK to THK-VTK,Excellent,Very Good,6.52x4.06x2.48 mm,1696
281869_NVD,Pear,0.21,J,VVS2,GIA,Good,Faint,NON,58.0,61.0,Medium to Thick,Excellent,Excellent,5.19x3.52x2.04 mm,781
218Q-4_21571,Pear,0.3,F,IF,GIA,Excellent,Faint,,62.0,57.0,Thick to Very Thick,Excellent,Very Good,5.84 x 3.69 x 2.29 mm,1152
PS22090678A_NVD,Pear,0.5,J,SI1,GIA,Good,None,,64.0,61.0,undefined to undefined,Excellent,Very Good,6.77x4.48x2.87 mm,1359
RG166313_8935,Pear,0.4,H,VVS2,GIA,Good,Strong,None,57.6,59.0,Slightly Thick to Extremely Thick,Excellent,Very Good,6.11 x 4.19 x 2.41 mm,1180
E42281-04_42875,Pear,0.54,D,I1,GIA,Excellent,Medium,,63.5,58.0,Thin to Thick,Excellent,Very Good,7.44 x 4.38 x 2.78 mm,1672
156890_NVD,Pear,0.3,F,I1,GIA,Very Good,None,,62.4,60.0,STK - ETK to STK - ETK,Very Good,Very Good,5.72x3.73x2.33 mm,697
N0236374_32457,Pear,0.71,J,SI1,GIA,Excellent,None,,63.1,61.0,,Very Good,Very Good,7.53 x 4.93 x 3.11 mm,2093
S304840gs_13659,Pear,0.4,G,SI1,GIA,Excellent,None,,54.0,58.0,Very Thin to Slightly Thick,Very Good,Good,6.23 x 4.54 x 2.45 mm,1194
Z361-45_13198,Pear,0.5,H,I1,GIA,Excellent,Faint,,53.1,59.0,Thin to Thick,Excellent,Excellent,7.77 x 4.44 x 2.36 mm,1246
19027_29708,Pear,0.5,D,SI1,GIA,Excellent,None,None Pointed,58.6,63.0,Slightly Thick to Very Thick,Excellent,Very Good,6.88 x 4.55 x 2.67 mm,1867
PS22121115B_NVD,Pear,0.51,J,VVS1,GIA,Fair,None,,66.1,63.0,undefined to undefined,Excellent,Excellent,6.84x4.26x2.81 mm,1913
BG995-20_13198,Pear,0.5,I,VS2,GIA,Excellent,Faint,,54.4,63.0,Slightly Thick to Very Thick,Very Good,Very Good,7.15 x 4.61 x 2.51 mm,1912
PRHBE7_53469,Pear,0.52,E,SI2,GIA,Excellent,Faint,,65.4,59.0,Thick to Extr. Thick,Good,Very Good,6.63 x 4.44 x 2.91 mm,1619
U52-273A_NVD,Pear,0.4,F,VS2,GIA,Very Good,Faint,,63.8,57.0,THK - VTK to THK - VTK,Excellent,Very Good,6.04x4.13x2.63 mm,1342
BI-62_13198,Pear,0.4,F,VS1,GIA,Excellent,None,,53.2,61.0,Thin to Very Thick,Excellent,Very Good,6.68 x 4.23 x 2.25 mm,1537
10043_70964,Pear,0.47,I,SI1,GIA,Excellent,Medium,,71.6,61.0,,Good,Fair,5.83 x 4.22 x 3.02 mm,838
E43297-11_42875,Pear,0.5,J,SI1,GIA,Excellent,Medium,,61.3,62.0,Slightly Thick to Very Thick,Very Good,Very Good,7.17 x 4.32 x 2.65 mm,1567
974_42633,Pear,0.56,E,SI2,GIA,Excellent,None,,59.2,63.0,Thin to Extr. Thick,Very Good,Very Good,7.10 x 4.57 x 2.71 mm,2041
J13260_NVD,Pear,0.5,I,SI1,IGI,Fair,None,POINTED,66.0,66.0,Thick to Very Thick,Excellent,Very Good,6.42x4.35x2.87 mm,1193
R1649_1159,Pear,0.29,I,VVS1,GIA,Very Good,None,None,63.0,57.0,,Good,Good,5.51 x 3.68 x 2.32 mm,729
92070_NVD,Pear,0.5,F,VS2,GIA,Very Good,None,NON,63.9,53.0,FACETED to FACETED,Very Good,Very Good,6.53x4.42x2.83 mm,2058
BG699-6_220,Pear,0.51,I,VS2,GIA,Good,None,None,57.9,57.0,Medium to Thick,Excellent,Very Good,7.31 x 4.57 x 2.64 mm,1925
RG158097_8935,Pear,0.4,G,VVS1,GIA,Very Good,None,None,59.6,59.0,Slightly Thick to Very Thick,Excellent,Very Good,6.66 x 4.1 x 2.44 mm,1579
C1/3P1027_56465,Pear,0.3,E,SI2,GIA,Excellent,None,,57.0,58.0,Thin to Thick,Very Good,Good,6.13 x 3.84 x 2.19 mm,935
B722-36_220,Pear,0.5,F,I1,GIA,Very Good,None,None,59.2,60.0,Slightly Thick to Very Thick,Very Good,Very Good,6.86 x 4.58 x 2.71 mm,1421
H468-17A_NVD,Pear,0.5,H,IF,GIA,Fair,None,,66.0,62.0,STK - ETK to STK - ETK,Excellent,Very Good,6.39x4.42x2.92 mm,1749
I101-13A_NVD,Pear,0.42,J,VVS1,GIA,Very Good,None,,62.0,58.0,STK - VTK to STK - VTK,Excellent,Very Good,6.26x4.22x2.62 mm,1346
26053_29708,Pear,0.3,E,VVS2,GIA,Excellent,None,None Pointed,59.3,62.0,Thin to Thick,Excellent,Good,5.95 x 3.82 x 2.27 mm,936
I54-60A_NVD,Pear,0.56,K,VS1,GIA,Good,None,,60.0,61.0,THK - VTK to THK - VTK,Excellent,Very Good,6.89x4.69x2.81 mm,1450
508C-13-A_NVD,Pear,0.61,H,SI1,GIA,Very Good,Faint,,62.1,60.0,THN - THK to THN - THK,Excellent,Very Good,7.65x4.67x2.9 mm,2022
